GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24013","Carroll, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3203330,3472006,3616383,3884109,4198115,4631586,4770014,4942888,4838099,5013558,5187608,5451078,5588641,5685127,5925017,6084502,6476375,6486666,6763742,6571547,7026973,7786032,8387687,8877387
 "24015","Cecil, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2577245,2870738,2910332,3201217,3330055,3395561,3435843,3418069,3505177,3696031,3626473,3654785,3813891,3772600,4024844,4293775,4432511,4779546,4817027,4808321,4982848,5199723,5487641,5448557
 "24015","Cecil, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.144,64.766,65.659,72.221,75.128,76.606,77.515,77.114,79.079,83.385,81.815,82.454,86.044,85.112,90.803,96.870,100.000,107.829,108.675,108.478,112.416,117.309,123.804,122.923
 "24015","Cecil, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1852092,2106432,2171437,2436185,2609874,2775515,2869631,2920461,3092482,3261424,3265288,3363523,3571159,3580364,3928657,4245414,4432511,4881204,5048469,5138544,5566603,6350139,7052807,7154200
 "24017","Charles, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4217506,4455727,4625708,4782544,4860647,5253359,5217878,5385999,5351128,5728440,5784575,5604961,5514298,5901002,5740970,6094050,6317642,6062349,6026444,5767440,5916859,5971675,6320742,6682037
 "24017","Charles, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.758,70.528,73.219,75.701,76.938,83.154,82.592,85.253,84.701,90.674,91.562,88.719,87.284,93.405,90.872,96.461,100.000,95.959,95.391,91.291,93.656,94.524,100.049,105.768
 "24017","Charles, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2974139,3205222,3417838,3639724,3833853,4321308,4405999,4612646,4768639,5088590,5188522,5081319,5097122,5612927,5574503,5976434,6317642,6214778,6333886,6202342,6709972,7247411,8017529,8671815
 "24019","Dorchester, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1183662,1154077,1210085,1238654,1278387,1257669,1271733,1404425,1370939,1397148,1291664,1234594,1248710,1295478,1285379,1278658,1286721,1254251,1291172,1278684,1382920,1434843,1325490,1395003
 "24019","Dorchester, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.991,89.691,94.044,96.264,99.352,97.742,98.835,109.148,106.545,108.582,100.384,95.949,97.046,100.681,99.896,99.373,100.000,97.477,100.346,99.375,107.476,111.512,103.013,108.415
 "24019","Dorchester, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",847774,847123,902770,951475,1000947,1009270,1055344,1197386,1212912,1240818,1168033,1150384,1187078,1248047,1256170,1263582,1286721,1274502,1347268,1370887,1537769,1707842,1667061,1800578
 "24021","Frederick, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8807787,9456089,9793128,10203897,10577427,10758532,11225532,11220130,11400522,12065317,12288278,12170156,12386002,12846283,12924134,13212871,13461065,13829488,14087214,13496377,14329162,14597168,15352620,15943952
 "24021","Frederick, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.432,70.248,72.752,75.803,78.578,79.923,83.393,83.352,84.693,89.631,91.288,90.410,92.014,95.433,96.011,98.156,100.000,102.737,104.652,100.262,106.449,108.440,114.052,118.445
 "24021","Frederick, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6262891,6884044,7290761,7827385,8387957,8834129,9482577,9626832,9968124,10601411,10977156,11103414,11478281,12137897,12490829,12988769,13461065,14156698,14707184,14360003,15891970,17364076,19146706,20352215
 "24023","Garrett, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1013777,1088605,1111432,1109240,1129500,1154312,1064134,1079712,1019835,1087239,1132500,1154444,1123732,1216725,1235952,1270078,1233098,1277868,1290656,1271234,1328866,1258226,1308839,1365063
 "24023","Garrett, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.214,88.282,90.133,89.956,91.599,93.611,86.298,87.561,82.705,88.171,91.842,93.621,91.131,98.672,100.231,102.999,100.000,103.631,104.668,103.093,107.766,102.038,106.142,110.702
 "24023","Garrett, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",678686,746917,782327,819967,872203,932268,894204,928094,894053,960200,1020987,1063224,1055139,1163220,1201302,1245049,1233098,1304561,1349969,1360449,1513727,1561710,1688775,1790479
 "24025","Harford, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",7997475,8493854,8876495,9305871,9574192,9996949,10193047,10270068,10374516,10801382,11418130,11677427,11940817,11843983,12117501,12486539,12891816,13046785,13282652,13027406,13500290,13399200,13697312,13995030
 "24025","Harford, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.035,65.886,68.854,72.184,74.266,77.545,79.066,79.663,80.474,83.785,88.569,90.580,92.623,91.872,93.994,96.856,100.000,101.202,103.032,101.052,104.720,103.936,106.248,108.557
 "24025","Harford, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5661644,6176207,6622320,7147741,7614507,8247028,8649042,8883546,9223535,9644345,10331083,10734015,11122908,11251088,11762931,12291115,12891816,13347295,13882122,13883287,14979683,15875753,17059967,17905579
 "24027","Howard, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15172353,16049548,16573356,17467190,18748397,19633215,19693154,20408065,20378686,21693575,22895357,23709416,23579480,23868731,24604948,25687235,26193676,26775883,27583329,27367093,29160787,28858153,29479942,30577345
 "24027","Howard, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",57.924,61.273,63.272,66.685,71.576,74.954,75.183,77.912,77.800,82.820,87.408,90.516,90.020,91.124,93.935,98.067,100.000,102.223,105.305,104.480,111.328,110.172,112.546,116.736
 "24027","Howard, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",11558623,12443719,13022386,14080601,15538778,16793166,17251359,18177248,18641793,19792521,21082959,22223883,22353282,22895755,24021460,25430705,26193676,27161213,28519555,28720867,31346689,32624800,34854299,37129638
 "24029","Kent, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",862281,884863,892999,906011,938403,989840,970175,1003005,1026209,1032273,963499,921102,922895,915812,902039,914959,943989,931234,962850,918086,930619,951789,947925,948734
 "24029","Kent, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.344,93.737,94.598,95.977,99.408,104.857,102.774,106.252,108.710,109.352,102.067,97.576,97.765,97.015,95.556,96.925,100.000,98.649,101.998,97.256,98.584,100.826,100.417,100.503
 "24029","Kent, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",581509,607348,629564,663553,702269,763367,776271,823140,858786,872372,839098,824014,845632,852474,861004,896930,943989,951871,1006200,978376,1056363,1175010,1221786,1248345
 "24031","Montgomery, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",60810575,63261827,65698371,70286680,74465491,73866090,73994879,77238863,77742817,82901847,86372921,86032006,84517485,84943355,87922603,91235588,93542842,93381475,91925582,89001812,92343289,92064413,93761234,94922164
 "24031","Montgomery, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.008,67.629,70.233,75.138,79.606,78.965,79.103,82.571,83.109,88.624,92.335,91.971,90.352,90.807,93.992,97.533,100.000,99.827,98.271,95.146,98.718,98.420,100.233,101.475
 "24031","Montgomery, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46252839,49187360,51953117,56790419,61587427,62806864,64415987,68224050,69973074,74668088,78611099,79497479,79080874,80738169,85130896,90183699,93542842,95122803,95273604,93917076,100107031,105576217,112546072,117389979
 "24033","Prince George's, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",35383590,36764523,37661563,39250159,40371083,40295606,40257573,41201848,40262607,41767584,41673479,41768313,41968268,42783539,43139763,44385145,44874740,46019288,46427928,44485986,46485886,47808158,48657022,50887450
 "24033","Prince George's, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.850,81.927,83.926,87.466,89.964,89.796,89.711,91.815,89.722,93.076,92.866,93.078,93.523,95.340,96.134,98.909,100.000,102.551,103.461,99.134,103.590,106.537,108.429,113.399
 "24033","Prince George's, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",25494498,27136820,28371746,30348791,32164630,33206563,34104928,35509384,35580983,37024072,37386190,38086419,38890711,40446680,41754705,43696761,44874740,47042761,48583064,47626974,51639294,56555674,60519177,65163322
 "24035","Queen Anne's, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1308484,1356445,1405467,1456250,1463115,1506016,1531773,1572646,1519117,1560446,1563607,1571396,1617100,1670810,1671960,1726999,1848599,1847306,1906913,1762536,2062152,2010761,2046029,2157003
 "24035","Queen Anne's, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.782,73.377,76.029,78.776,79.147,81.468,82.861,85.072,82.177,84.412,84.583,85.005,87.477,90.382,90.445,93.422,100.000,99.930,103.154,95.344,111.552,108.772,110.680,116.683
 "24035","Queen Anne's, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",910637,964398,1019947,1093177,1125654,1195795,1257206,1318333,1302134,1344370,1376306,1418670,1492847,1567059,1606097,1698501,1848599,1884751,2001341,1899561,2332516,2481299,2657775,2875433
 "24037","St. Mary's, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4342288,4633565,4904456,5118038,5265546,5438480,5620250,5715630,5879472,6359768,6690343,6712723,6682245,6784200,6963774,7172852,7354343,7391917,7529039,7889657,7917159,7906507,8161179,8388208
 "24037","St. Mary's, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.044,63.004,66.688,69.592,71.598,73.949,76.421,77.718,79.946,86.476,90.971,91.276,90.861,92.248,94.689,97.532,100.000,100.511,102.375,107.279,107.653,107.508,110.971,114.058
 "24037","St. Mary's, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3048891,3364413,3678048,3953176,4201788,4498171,4800117,4980450,5226382,5717965,6105129,6204692,6253558,6469252,6781836,7064550,7354343,7556532,7846424,8379124,8675004,9106060,9835027,10446002
 "24039","Somerset, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",690094,679517,698040,754612,766253,796710,809000,811799,762998,764453,768060,723264,808685,929361,1046693,1057026,885671,879004,819473,795634,845042,965742,839670,953912
