GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17998","Illinois (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",103.161,104.133,103.828,104.257,102.868,102.140,101.455,100.681,101.636,102.556,102.001,100.846,102.089,103.097,103.083,100.322,101.522
 "17999","Illinois (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",81.074,84.306,87.268,86.559,87.448,86.200,86.998,86.060,84.421,84.109,88.274,88.524,86.663,87.364,86.672,86.106,87.420
 "18998","Indiana (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",95.015,94.881,94.630,93.971,94.149,94.574,94.000,92.927,93.184,92.575,93.837,93.843,92.758,93.758,93.005,93.290,94.490
 "18999","Indiana (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",82.015,84.916,87.475,86.877,87.791,86.907,87.825,85.928,84.764,84.747,88.853,88.993,87.901,88.100,87.438,87.358,88.657
 "19998","Iowa (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",93.173,94.298,94.223,92.983,93.944,93.789,94.178,92.876,92.658,92.428,93.754,94.139,92.739,91.934,90.397,91.066,89.963
 "19999","Iowa (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",79.710,83.497,86.711,85.370,86.177,86.548,86.013,84.560,84.518,84.237,88.638,87.949,87.163,86.084,84.975,84.897,84.077
 "20998","Kansas (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",93.813,95.071,95.408,95.374,95.648,95.277,95.569,95.690,95.154,94.461,93.955,94.420,93.872,92.940,91.254,91.646,91.532
 "20999","Kansas (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",81.074,84.308,87.338,86.616,87.534,86.245,87.150,85.807,84.201,84.122,88.310,88.243,87.882,86.661,85.024,84.979,85.920
 "21998","Kentucky (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",92.894,91.679,93.191,93.294,93.575,93.697,93.618,93.297,93.447,92.885,90.957,91.339,91.383,91.336,91.579,92.145,92.608
 "21999","Kentucky (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",84.416,83.169,85.821,85.438,85.529,85.730,86.388,85.921,85.445,84.227,85.459,86.188,84.376,85.024,84.980,85.563,85.252
 "22998","Louisiana (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",92.981,91.582,93.470,94.120,94.352,94.294,94.616,94.108,94.993,93.719,91.692,92.142,92.319,92.160,91.283,89.605,89.149
 "22999","Louisiana (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",84.099,83.313,85.788,85.756,85.144,85.288,86.466,85.736,85.636,84.599,85.087,85.338,84.401,86.500,85.630,83.211,82.470
 "23998","Maine (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",100.514,101.258,99.964,97.861,100.173,101.563,93.889,98.448,100.211,100.278,100.372,97.285,101.508,100.276,103.218,102.047,100.307
 "23999","Maine (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",95.333,94.808,93.879,93.467,91.774,93.326,90.251,91.748,92.269,93.115,92.999,92.754,92.073,92.595,96.520,91.266,91.645
