Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
319,Ben Saraf,19,BRK,SG,40,7,19.6,2.4,6.2,.382,0.4,1.9,.216,2.0,4.4,.451,.414,1.5,1.8,.817,0.4,1.5,1.9,3.3,0.8,0.1,2.2,1.8,6.6,,sarafbe01
320,Patrick Williams,24,CHI,PF,67,4,19.6,2.4,6.4,.371,1.3,3.6,.347,1.1,2.7,.402,.469,0.7,1.0,.677,0.7,2.1,2.9,1.3,0.6,0.3,1.0,1.3,6.6,,willipa01
321,Keon Ellis,26,2TM,SG,68,9,20.3,2.3,5.2,.435,1.2,3.4,.361,1.0,1.8,.577,.553,0.7,1.0,.723,0.5,1.3,1.8,0.9,1.2,0.7,0.6,1.9,6.5,,elliske01
321,Keon Ellis,26,SAC,SG,43,5,17.6,1.9,4.9,.397,1.2,3.3,.368,0.7,1.5,.462,.524,0.5,0.7,.625,0.3,0.9,1.3,0.6,1.1,0.5,0.5,1.6,5.6,,elliske01
321,Keon Ellis,26,CLE,SG,25,4,24.8,2.9,5.9,.490,1.2,3.6,.348,1.6,2.3,.707,.595,1.1,1.3,.818,0.9,1.8,2.7,1.5,1.4,0.9,0.8,2.3,8.1,,elliske01
322,Seth Curry,35,GSW,SG,6,0,11.5,2.5,4.3,.577,1.0,2.0,.500,1.5,2.3,.643,.692,0.5,0.5,1.000,0.5,1.0,1.5,1.2,0.3,0.0,0.0,0.7,6.5,,curryse01
323,Oso Ighodaro,23,PHO,PF,77,23,22.3,2.9,4.5,.651,0.0,0.0,.000,2.9,4.5,.653,.651,0.7,1.4,.459,1.7,3.4,5.1,2.3,0.9,0.6,1.2,2.7,6.5,,ighodos01
324,Julian Strawther,23,DEN,SG,52,12,14.4,2.3,5.1,.457,0.9,2.4,.357,1.5,2.7,.546,.541,1.0,1.2,.806,0.2,1.7,1.9,1.0,0.4,0.1,0.6,1.2,6.5,,strawju01
325,Oscar Tshiebwe,26,UTA,C,23,2,15.1,2.8,4.5,.631,0.0,0.0,,2.8,4.5,.631,.631,0.9,1.5,.571,2.7,3.0,5.6,1.0,0.6,0.1,0.6,1.3,6.5,,tshieos01
326,Jevon Carter,30,2TM,PG,48,1,16.2,2.3,5.9,.389,1.5,4.2,.355,0.8,1.7,.475,.516,0.3,0.4,.789,0.3,1.4,1.6,1.6,0.7,0.2,0.7,1.1,6.4,,carteje01
326,Jevon Carter,30,CHI,PG,23,0,11.0,1.8,4.5,.398,1.4,3.4,.410,0.4,1.1,.360,.553,0.4,0.4,1.000,0.2,0.9,1.1,0.8,0.6,0.1,0.5,0.8,5.4,,carteje01
326,Jevon Carter,30,ORL,PG,25,1,20.9,2.8,7.2,.383,1.6,5.0,.320,1.2,2.2,.527,.494,0.2,0.4,.556,0.3,1.8,2.0,2.4,0.9,0.3,0.9,1.4,7.3,,carteje01
327,Tyrese Martin,26,2TM,SG,45,6,17.2,2.4,6.2,.394,1.2,3.7,.321,1.2,2.5,.500,.489,0.4,0.6,.679,0.8,1.8,2.6,1.7,0.6,0.1,0.9,0.7,6.4,,martity01
327,Tyrese Martin,26,BRK,SG,37,6,18.8,2.7,6.9,.392,1.4,4.1,.336,1.3,2.8,.476,.492,0.5,0.7,.731,0.9,2.0,2.9,1.9,0.6,0.1,0.9,0.8,7.3,,martity01
327,Tyrese Martin,26,PHI,SG,8,0,9.9,1.1,2.8,.409,0.3,1.6,.154,0.9,1.1,.778,.455,0.0,0.3,.000,0.3,1.0,1.3,1.1,0.4,0.3,0.9,0.4,2.5,,martity01
328,Jamir Watkins,24,WAS,SG,44,5,19.4,2.4,5.3,.446,0.8,2.8,.287,1.6,2.5,.622,.521,0.9,1.3,.667,1.0,2.7,3.7,1.3,1.1,0.5,0.7,2.6,6.4,,watkija01
329,Kenrich Williams,31,OKC,PF,51,2,15.0,2.4,4.9,.492,0.9,2.2,.402,1.5,2.7,.564,.581,0.6,1.0,.640,0.9,2.2,3.1,1.3,0.6,0.1,0.8,1.1,6.4,,willike04
330,Adama-Alpha Bal,22,MEM,,4,0,25.5,2.3,6.3,.360,1.3,3.8,.333,1.0,2.5,.400,.460,0.5,0.8,.667,0.5,1.8,2.3,2.0,0.8,0.0,0.8,3.3,6.3,,balad01
331,Alex Caruso,31,OKC,SG,53,0,18.6,2.3,5.5,.421,0.9,3.3,.289,1.4,2.2,.615,.507,0.8,1.0,.804,0.5,2.2,2.8,2.0,1.3,0.3,0.8,1.2,6.3,,carusal01
